Level,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,15200,15700,16200,16700,17200,17700,18200,18700,19300,19900,20500,21100,21700,22400,23100,23800,24500,25200,26000,26800,27600,28400,29300,30200,31100,32000,33000,34000,35000,36100,37200,38300,39400,40600,41800,43100,44400,45700,47100,48500
2,16200,16700,17200,17700,18200,18700,19300,19900,20500,21100,21700,22400,23100,23800,24500,25200,26000,26800,27600,28400,29300,30200,31100,32000,33000,34000,35000,36100,37200,38300,39400,40600,41800,43100,44400,45700,47100,48500,50000,51500
3,19300,19900,20500,21100,21700,22400,23100,23800,24500,25200,26000,26800,27600,28400,29300,30200,31100,32000,33000,34000,35000,36100,37200,38300,39400,40600,41800,43100,44400,45700,47100,48500,50000,51500,53000,54600,56200,57900,59600,61400
4,18000,18500,19100,19700,20300,20900,21500,22100,22800,23500,24200,24900,25600,26400,27200,28000,28800,29700,30600,31500,32400,33400,34400,35400,36500,37600,38700,39900,41100,42300,43600,44900,46200,47600,49000,50500,52000,53600,55200,56900
5,19400,20000,20600,21200,21800,22500,23200,23900,24600,25300,26100,26900,27700,28500,29400,30300,31200,32100,33100,34100,35100,36200,37300,38400,39600,40800,42000,43300,44600,45900,47300,48700,50200,51700,53300,54900,56500,58200,59900,61700
6,20300,20900,21500,22100,22800,23500,24200,24900,25600,26400,27200,28000,28800,29700,30600,31500,32400,33400,34400,35400,36500,37600,38700,39900,41100,42300,43600,44900,46200,47600,49000,50500,52000,53600,55200,56900,58600,60400,62200,64100
7,21700,22400,23100,23800,24500,25200,26000,26800,27600,28400,29300,30200,31100,32000,33000,34000,35000,36100,37200,38300,39400,40600,41800,43100,44400,45700,47100,48500,50000,51500,53000,54600,56200,57900,59600,61400,63200,65100,67100,69100
8,22800,23500,24200,24900,25600,26400,27200,28000,28800,29700,30600,31500,32400,33400,34400,35400,36500,37600,38700,39900,41100,42300,43600,44900,46200,47600,49000,50500,52000,53600,55200,56900,58600,60400,62200,64100,66000,68000,70000,72100
9,25400,26200,27000,27800,28600,29500,30400,31300,32200,33200,34200,35200,36300,37400,38500,39700,40900,42100,43400,44700,46000,47400,48800,50300,51800,53400,55000,56700,58400,60200,62000,63900,65800,67800,69800,71900,74100,76300,78600,81000
10,30200,31100,32000,33000,34000,35000,36100,37200,38300,39400,40600,41800,43100,44400,45700,47100,48500,50000,51500,53000,54600,56200,57900,59600,61400,63200,65100,67100,69100,71200,73300,75500,77800,80100,82500,85000,87600,90200,92900,95700
11,33700,34700,35700,36800,37900,39000,40200,41400,42600,43900,45200,46600,48000,49400,50900,52400,54000,55600,57300,59000,60800,62600,64500,66400,68400,70500,72600,74800,77000,79300,81700,84200,86700,89300,92000,94800,97600,100500,103500,106600
12,37100,38200,39300,40500,41700,43000,44300,45600,47000,48400,49900,51400,52900,54500,56100,57800,59500,61300,63100,65000,67000,69000,71100,73200,75400,77700,80000,82400,84900,87400,90000,92700,95500,98400,101400,104400,107500,110700,114000,117400
13,37600,38700,39900,41100,42300,43600,44900,46200,47600,49000,50500,52000,53600,55200,56900,58600,60400,62200,64100,66000,68000,70000,72100,74300,76500,78800,81200,83600,86100,88700,91400,94100,96900,99800,102800,105900,109100,112400,115800,119300
14,39100,40300,41500,42700,44000,45300,46700,48100,49500,51000,52500,54100,55700,57400,59100,60900,62700,64600,66500,68500,70600,72700,74900,77100,79400,81800,84300,86800,89400,92100,94900,97700,100600,103600,106700,109900,113200,116600,120100,123700
15,46300,47700,49100,50600,52100,53700,55300,57000,58700,60500,62300,64200,66100,68100,70100,72200,74400,76600,78900,81300,83700,86200,88800,91500,94200,97000,99900,102900,106000,109200,112500,115900,119400,123000,126700,130500,,,,
16,49700,51200,52700,54300,55900,57600,59300,61100,62900,64800,66700,68700,70800,72900,75100,77400,79700,82100,84600,87100,89700,92400,95200,98100,101000,104000,107100,110300,113600,117000,120500,124100,127800,131600,135500,,,,,
17,56000,57700,59400,61200,63000,64900,66800,68800,70900,73000,75200,77500,79800,82200,84700,87200,89800,92500,95300,98200,101100,104100,107200,110400,113700,117100,120600,124200,127900,131700,135700,139800,,,,,,,,
18,65000,67000,69000,71100,73200,75400,77700,80000,82400,84900,87400,90000,92700,95500,98400,101400,104400,107500,110700,114000,117400,120900,124500,128200,132000,136000,140100,144300,,,,,,,,,,,,
19,71100,73200,75400,77700,80000,82400,84900,87400,90000,92700,95500,98400,101400,104400,107500,110700,114000,117400,120900,124500,128200,132000,136000,140100,144300,148600,,,,,,,,,,,,,,
20,83700,86200,88800,91500,94200,97000,99900,102900,106000,109200,112500,115900,119400,123000,126700,130500,134400,138400,142600,146900,151300,155800,160500,,,,,,,,,,,,,,,,,
21,105400,108600,111900,115300,118800,122400,126100,129900,133800,137800,141900,146200,150600,155100,159800,164600,169500,174600,179800,,,,,,,,,,,,,,,,,,,,,
22,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,120500,,,,,,,,,,,,,,,,,,,,,,
23,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,124700,,,,,,,,,,,,,,,,,,,,,,,
